Key ID,CMIS Name,Page,Byte,Byte Length,Mask Bytes,Bank Scope,Value Type,Unit,Scale,Byte Order,Conversion Note,Access,Behavior,Requirement,Condition,Description,Reference Section,Reference Table,SONiC Cross-check,SONiC Field
CDREnableTx8.10h.195,CDREnableTx8,0x10,195,1,0x80,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx7.10h.195,CDREnableTx7,0x10,195,1,0x40,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx6.10h.195,CDREnableTx6,0x10,195,1,0x20,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx5.10h.195,CDREnableTx5,0x10,195,1,0x10,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx4.10h.195,CDREnableTx4,0x10,195,1,0x08,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx3.10h.195,CDREnableTx3,0x10,195,1,0x04,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx2.10h.195,CDREnableTx2,0x10,195,1,0x02,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableTx1.10h.195,CDREnableTx1,0x10,195,1,0x01,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableTx<i> 1b: CDR enabled 0b: CDR bypassed,,8-78,Not in SONiC,
CDREnableRx8.196,CDREnableRx8,0x10,196,1,0x80,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx7.196,CDREnableRx7,0x10,196,1,0x40,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx6.196,CDREnableRx6,0x10,196,1,0x20,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx5.196,CDREnableRx5,0x10,196,1,0x10,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx4.196,CDREnableRx4,0x10,196,1,0x08,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx3.196,CDREnableRx3,0x10,196,1,0x04,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx2.196,CDREnableRx2,0x10,196,1,0x02,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
CDREnableRx1.196,CDREnableRx1,0x10,196,1,0x01,Lane-banked,bool,,,,,RW,Normal,Adv,,SCS1::CDREnableRx<i> 1b: CDR enabled 0 b: CDR bypassed,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx2.10h.197,OutputEqPreCursorTargetRx2,0x10,197,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputEqPreCursorTargetRx<i> Rx output equalization pre-cursor target.,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx1.10h.197,OutputEqPreCursorTargetRx1,0x10,197,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputEqPreCursorTargetRx<i> Rx output equalization pre-cursor target.,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx4.10h.198,OutputEqPreCursorTargetRx4,0x10,198,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,,,SCS1::OutputEqPreCursorTargetRx<i> Rx output equalization pre-cursor target.,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx3.10h.198,OutputEqPreCursorTargetRx3,0x10,198,1,0x0F,Lane-banked,bitfield4,,,,,,,Adv,,Used only when both pre- and post-cursor targets are supported. S ee Table 6-7 and section 6.2.5.2,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx6.10h.199,OutputEqPreCursorTargetRx6,0x10,199,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,Used only when both pre- and post-cursor targets are supported. S ee Table 6-7 and section 6.2.5.2,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx5.10h.199,OutputEqPreCursorTargetRx5,0x10,199,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,Used only when both pre- and post-cursor targets are supported. S ee Table 6-7 and section 6.2.5.2,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx8.10h.200,OutputEqPreCursorTargetRx8,0x10,200,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,Used only when both pre- and post-cursor targets are supported. S ee Table 6-7 and section 6.2.5.2,,8-79,Not in SONiC,
OutputEqPreCursorTargetRx7.10h.200,OutputEqPreCursorTargetRx7,0x10,200,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,Used only when both pre- and post-cursor targets are supported. S ee Table 6-7 and section 6.2.5.2,,8-79,Not in SONiC,
OutputEqPostCursorTargetRx2.10h.201,OutputEqPostCursorTargetRx2,0x10,201,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx1.10h.201,OutputEqPostCursorTargetRx1,0x10,201,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx4.10h.202,OutputEqPostCursorTargetRx4,0x10,202,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx3.10h.202,OutputEqPostCursorTargetRx3,0x10,202,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx6.10h.203,OutputEqPostCursorTargetRx6,0x10,203,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx5.10h.203,OutputEqPostCursorTargetRx5,0x10,203,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx8.10h.204,OutputEqPostCursorTargetRx8,0x10,204,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputEqPostCursorTargetRx7.10h.204,OutputEqPostCursorTargetRx7,0x10,204,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,"SCS1::OutputEqPostCursorTargetRx<i> Rx output equalization post-cursor, or pre-cursor target when only pre-cursor setting is advertised. S ee Table 6-7 and section 6.2.5.2",,8-79,Not in SONiC,
OutputAmplitudeTargetRx2.10h.205,OutputAmplitudeTargetRx2,0x10,205,1,0xF0,Lane-banked,enum4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx1.10h.205,OutputAmplitudeTargetRx1,0x10,205,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx4.10h.206,OutputAmplitudeTargetRx4,0x10,206,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx3.10h.206,OutputAmplitudeTargetRx3,0x10,206,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx6.10h.207,OutputAmplitudeTargetRx6,0x10,207,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx5.10h.207,OutputAmplitudeTargetRx5,0x10,207,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx8.10h.208,OutputAmplitudeTargetRx8,0x10,208,1,0xF0,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
OutputAmplitudeTargetRx7.10h.208,OutputAmplitudeTargetRx7,0x10,208,1,0x0F,Lane-banked,bitfield4,,,,,RW,Normal,Adv,,SCS1::OutputAmplitudeTargetRx<i> Rx output amplitude encoding See Table 6-8,,8-79,Not in SONiC,
Reserved.10h.209,Reserved,0x10,209,2,,Lane-banked,,,,,,,,,,Reserved[2],,8-79,Not in SONiC,
ApplyImmediateTx8.211,ApplyImmediateTx8,0x10,211,1,0x80,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx7.211,ApplyImmediateTx7,0x10,211,1,0x40,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx6.211,ApplyImmediateTx6,0x10,211,1,0x20,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx5.211,ApplyImmediateTx5,0x10,211,1,0x10,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx4.211,ApplyImmediateTx4,0x10,211,1,0x08,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx3.211,ApplyImmediateTx3,0x10,211,1,0x04,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx2.211,ApplyImmediateTx2,0x10,211,1,0x02,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateTx1.211,ApplyImmediateTx1,0x10,211,1,0x01,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateTx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Tx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx8.212,ApplyImmediateRx8,0x10,212,1,0x80,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx7.212,ApplyImmediateRx7,0x10,212,1,0x40,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx6.212,ApplyImmediateRx6,0x10,212,1,0x20,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx5.212,ApplyImmediateRx5,0x10,212,1,0x10,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx4.212,ApplyImmediateRx4,0x10,212,1,0x08,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx3.212,ApplyImmediateRx3,0x10,212,1,0x04,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx2.212,ApplyImmediateRx2,0x10,212,1,0x02,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
ApplyImmediateRx1.212,ApplyImmediateRx1,0x10,212,1,0x01,Lane-banked,bool,,,,,WO,Normal,Cnd,,"SCS1::ApplyImmediateRx<i> 0b: No action for host lane <i> 1b: Trigger the Provision-and-Commission procedure for Rx using the Staged Control Set 1 settings for host lane <i>, with feedback provided in the ConfigStatusLane<i> field Restriction: This byte must be written in a single-byte WRITE Condition: UnidirReconfigSupported (01h:162.6) = 1b Note: See Table 6-3 for preconditions and state dependencies",,8-80,Not in SONiC,
DPStateChangedMask8,DPStateChangedMask8,0x10,213,1,0x80,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask7,DPStateChangedMask7,0x10,213,1,0x40,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask6,DPStateChangedMask6,0x10,213,1,0x20,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask5,DPStateChangedMask5,0x10,213,1,0x10,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask4,DPStateChangedMask4,0x10,213,1,0x08,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask3,DPStateChangedMask3,0x10,213,1,0x04,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask2,DPStateChangedMask2,0x10,213,1,0x02,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
DPStateChangedMask1,DPStateChangedMask1,0x10,213,1,0x01,Lane-banked,bool,,,,,RW,Normal,Rqd,,DPStateChangedMask<i> Mask for DPStateChangedFlag<i> for Data Path of host lane <i>,,8-81,Not in SONiC,
FailureMaskTx8,FailureMaskTx8,0x10,214,1,0x80,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx7,FailureMaskTx7,0x10,214,1,0x40,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx6,FailureMaskTx6,0x10,214,1,0x20,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx5,FailureMaskTx5,0x10,214,1,0x10,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx4,FailureMaskTx4,0x10,214,1,0x08,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx3,FailureMaskTx3,0x10,214,1,0x04,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx2,FailureMaskTx2,0x10,214,1,0x02,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
FailureMaskTx1,FailureMaskTx1,0x10,214,1,0x01,Lane-banked,bool,,,,,RW,Normal,Adv,,"FailureMaskTx<i> Mask for FailureFlagTx<i>, affecting media lane <i> Advertisement: 01h:157.0",,8-81,Not in SONiC,
LOSMaskTx8,LOSMaskTx8,0x10,215,1,0x80,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx7,LOSMaskTx7,0x10,215,1,0x40,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx6,LOSMaskTx6,0x10,215,1,0x20,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx5,LOSMaskTx5,0x10,215,1,0x10,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx4,LOSMaskTx4,0x10,215,1,0x08,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx3,LOSMaskTx3,0x10,215,1,0x04,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx2,LOSMaskTx2,0x10,215,1,0x02,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
LOSMaskTx1,LOSMaskTx1,0x10,215,1,0x01,Lane-banked,bool,,,,,RW,Normal,Adv,,"LOSMaskTx<i> Mask for LOSFlagTx, lane <i> Advertisement: 01h:157.1",,8-81,Not in SONiC,
CDRLOLMaskTx8,CDRLOLMaskTx8,0x10,216,1,0x80,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx7,CDRLOLMaskTx7,0x10,216,1,0x40,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx6,CDRLOLMaskTx6,0x10,216,1,0x20,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx5,CDRLOLMaskTx5,0x10,216,1,0x10,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx4,CDRLOLMaskTx4,0x10,216,1,0x08,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx3,CDRLOLMaskTx3,0x10,216,1,0x04,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx2,CDRLOLMaskTx2,0x10,216,1,0x02,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
CDRLOLMaskTx1,CDRLOLMaskTx1,0x10,216,1,0x01,Lane-banked,bool,,,,,RW,Normal,Adv,,"CDRLOLMaskTx<i> Mask for CDRLOLFlagTx<i>, lane <i> Advertisement: 01h:157.2",,8-81,Not in SONiC,
AdaptiveInputEqFailMaskTx8,AdaptiveInputEqFailMaskTx8,0x10,217,1,0x80,Lane-banked,bool,,,,,RW,Normal,Adv,,"AdaptiveInputEqFailMaskTx<i> Mask for AdaptiveInputEqFailFlagTx<i>, lane <i> Advertisement: 01h:157.3",,8-81,Not in SONiC,
AdaptiveInputEqFailMaskTx7,AdaptiveInputEqFailMaskTx7,0x10,217,1,0x40,Lane-banked,bool,,,,,RW,Normal,Adv,,"AdaptiveInputEqFailMaskTx<i> Mask for AdaptiveInputEqFailFlagTx<i>, lane <i> Advertisement: 01h:157.3",,8-81,Not in SONiC,
AdaptiveInputEqFailMaskTx6,AdaptiveInputEqFailMaskTx6,0x10,217,1,0x20,Lane-banked,bool,,,,,RW,Normal,Adv,,"AdaptiveInputEqFailMaskTx<i> Mask for AdaptiveInputEqFailFlagTx<i>, lane <i> Advertisement: 01h:157.3",,8-81,Not in SONiC,
