Key ID,CMIS Name,Page,Byte,Byte Length,Mask Bytes,Bank Scope,Value Type,Unit,Scale,Byte Order,Conversion Note,Access,Behavior,Requirement,Condition,Description,Reference Section,Reference Table,SONiC Cross-check,SONiC Field
Reserved.Lwr.5.0x40,Reserved,,5,1,0x40,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.5.0x20,Reserved,,5,1,0x20,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.5.0x10,Reserved,,5,1,0x10,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
FlagsSummaryBank1Page2Ch,FlagsSummaryBank1Page2Ch,,5,1,0x08,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 1, Page 2Ch",,8-8,Not in SONiC,
FlagsSummaryBank1Page14h,FlagsSummaryBank1Page14h,,5,1,0x04,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 1, Page 14h",,8-8,Not in SONiC,
FlagsSummaryBank1Page12h,FlagsSummaryBank1Page12h,,5,1,0x02,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 1, Page 12h",,8-8,Not in SONiC,
FlagsSummaryBank1Page11h,FlagsSummaryBank1Page11h,,5,1,0x01,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 1, Page 11h",,8-8,Not in SONiC,
Reserved.Lwr.6.0x80,Reserved,,6,1,0x80,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.6.0x40,Reserved,,6,1,0x40,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.6.0x20,Reserved,,6,1,0x20,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.6.0x10,Reserved,,6,1,0x10,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
FlagsSummaryBank2Page2Ch,FlagsSummaryBank2Page2Ch,,6,1,0x08,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 2, Page 2Ch",,8-8,Not in SONiC,
FlagsSummaryBank2Page14h,FlagsSummaryBank2Page14h,,6,1,0x04,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 2, Page 14h",,8-8,Not in SONiC,
FlagsSummaryBank2Page12h,FlagsSummaryBank2Page12h,,6,1,0x02,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 2, Page 12h",,8-8,Not in SONiC,
FlagsSummaryBank2Page11h,FlagsSummaryBank2Page11h,,6,1,0x01,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 2, Page 11h",,8-8,Not in SONiC,
Reserved.Lwr.7.0x80,Reserved,,7,1,0x80,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.7.0x40,Reserved,,7,1,0x40,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.7.0x20,Reserved,,7,1,0x20,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
Reserved.Lwr.7.0x10,Reserved,,7,1,0x10,,,,,,,,,,,Reserved,,8-8,Not in SONiC,
FlagsSummaryBank3Page2Ch,FlagsSummaryBank3Page2Ch,,7,1,0x08,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 3, Page 2Ch",,8-8,Not in SONiC,
FlagsSummaryBank3Page14h,FlagsSummaryBank3Page14h,,7,1,0x04,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 3, Page 14h",,8-8,Not in SONiC,
FlagsSummaryBank3Page12h,FlagsSummaryBank3Page12h,,7,1,0x02,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 3, Page 12h",,8-8,Not in SONiC,
FlagsSummaryBank3Page11h,FlagsSummaryBank3Page11h,,7,1,0x01,,bool,,,,,RO,Normal,Adv,,"1b: at least one Flag is set on Bank 3, Page 11h",,8-8,Not in SONiC,
CdbCmdCompleteFlag2,CdbCmdCompleteFlag2,,8,1,0x80,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag to indicate completion of a CDB command for CDB instance 2. Support is advertised in field 01h:163.7-6,,8-9,SONiC wider,FirmwareFault
CdbCmdCompleteFlag1,CdbCmdCompleteFlag1,,8,1,0x40,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag to indicate completion of a CDB command for CDB instance 1. Support is advertised in field 01h:163.7-6,,8-9,SONiC wider,FirmwareFault
Reserved.Lwr.8,Reserved,,8,1,0x38,,,,,,,,,,,Reserved,,8-9,SONiC wider,FirmwareFault
DataPathFirmwareErrorFlag,DataPathFirmwareErrorFlag,,8,1,0x04,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag to indicate that subordinated firmware in an auxiliary device for processing transmitted or received signals (e.g. a DSP) has failed.,,8-9,SONiC wider,FirmwareFault
ModuleFirmwareErrorFlag,ModuleFirmwareErrorFlag,,8,1,0x02,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag to indicate that self-supervision of the main module firmware has detected a failure in the main module firmware itself. There are several possible causes of the error such as program memory becoming corrupted and incomplete firmware loading.,,8-9,SONiC wider,FirmwareFault
ModuleStateChangedFlag,ModuleStateChangedFlag,,8,1,0x01,,bool,,,,,RO,ClearOnRead,Rqd,,Latched Flag to indicate a Module State Change,,8-9,SONiC wider,FirmwareFault
VccMonLowWarningFlag,VccMonLowWarningFlag,,9,1,0x80,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low supply voltage warning,,8-9,SONiC wider,ModuleFlagByte1
VccMonHighWarningFlag,VccMonHighWarningFlag,,9,1,0x40,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high supply voltage warning,,8-9,SONiC wider,ModuleFlagByte1
VccMonLowAlarmFlag,VccMonLowAlarmFlag,,9,1,0x20,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low supply voltage alarm,,8-9,SONiC wider,ModuleFlagByte1
VccMonHighAlarmFlag,VccMonHighAlarmFlag,,9,1,0x10,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high supply voltage alarm,,8-9,SONiC wider,ModuleFlagByte1
TempMonLowWarningFlag,TempMonLowWarningFlag,,9,1,0x08,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low temperature warning,,8-9,SONiC wider,ModuleFlagByte1
TempMonHighWarningFlag,TempMonHighWarningFlag,,9,1,0x04,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high temperature warning,,8-9,SONiC wider,ModuleFlagByte1
TempMonLowAlarmFlag,TempMonLowAlarmFlag,,9,1,0x02,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low temperature alarm,,8-9,SONiC wider,ModuleFlagByte1
TempMonHighAlarmFlag,TempMonHighAlarmFlag,,9,1,0x01,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high temperature alarm,,8-9,SONiC wider,ModuleFlagByte1
Aux2MonLowWarningFlag,Aux2MonLowWarningFlag,,10,1,0x80,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Aux 2 monitor warning,,8-9,SONiC wider,ModuleFlagByte2
Aux2MonHighWarningFlag,Aux2MonHighWarningFlag,,10,1,0x40,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Aux 2 monitor warning,,8-9,SONiC wider,ModuleFlagByte2
Aux2MonLowAlarmFlag,Aux2MonLowAlarmFlag,,10,1,0x20,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Aux 2 monitor alarm,,8-9,SONiC wider,ModuleFlagByte2
Aux2MonHighAlarmFlag,Aux2MonHighAlarmFlag,,10,1,0x10,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Aux 2 monitor alarm,,8-9,SONiC wider,ModuleFlagByte2
Aux1MonLowWarningFlag,Aux1MonLowWarningFlag,,10,1,0x08,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Aux 1 monitor warning,,8-9,SONiC wider,ModuleFlagByte2
Aux1MonHighWarningFlag,Aux1MonHighWarningFlag,,10,1,0x04,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Aux 1 monitor warning,,8-9,SONiC wider,ModuleFlagByte2
Aux1MonLowAlarmFlag,Aux1MonLowAlarmFlag,,10,1,0x02,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Aux 1 monitor alarm,,8-9,SONiC wider,ModuleFlagByte2
Aux1MonHighAlarmFlag,Aux1MonHighAlarmFlag,,10,1,0x01,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Aux 1 monitor alarm,,8-9,SONiC wider,ModuleFlagByte2
CustomMonLowWarningFlag,CustomMonLowWarningFlag,,11,1,0x80,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for low Vendor Defined Monitor warning,,8-9,SONiC wider,ModuleFlagByte3
CustomMonHighWarningFlag,CustomMonHighWarningFlag,,11,1,0x40,,bool,,,,,RO,ClearOnRead,Adv,,Latched Flag for high Vendor Defined Monitor warning,,8-9,SONiC wider,ModuleFlagByte3
