page,byte,mask,condition,expected_name,action,field,new_value,reason,source,confirmed_by
2C,224,,,VDMFlags195-254,set,Byte|Byte Length,225|30,"Spec typo: prints 224-254, but byte 224 holds VDMFlags193/194 and 60 flags x 4 bits = 30 bytes; 225-254 continues the 129-158/161-190/193-222 pattern",OIF-CMIS-05.3 Table 8-174,
2D,224,,,VDMMasks195-254,set,Byte|Byte Length,225|30,Same typo as Table 8-174,OIF-CMIS-05.3 Table 8-175,
